Name,Quantity,Component
"U1",1," Arduino Uno R3"
"R1",1," Photoresistor"
"R2",1,"10 kΩ Resistor"
"R3, R4",2,"1 kΩ Resistor"
"D1",1,"Red LED"
"D2",1,"Green LED"
